step,x,y,theta,v
4.400000000000000000e+01,3.598215477184604083e+01,8.948491312840081591e+00,1.017754340342627239e+00,1.023069450521266965e+00
4.500000000000000000e+01,3.603658557658575035e+01,9.036667136779117371e+00,1.029920218821493316e+00,1.036228181046064956e+00
4.600000000000000000e+01,3.609061684421722305e+01,9.126626118458817771e+00,1.041785054857200299e+00,1.049380591907070448e+00
4.700000000000000000e+01,3.614357698526025331e+01,9.217219825345196682e+00,1.053649890892907282e+00,1.049380591907070448e+00
4.800000000000000000e+01,3.619610809791895889e+01,9.309577518334728907e+00,1.065225112704370813e+00,1.062518764611264155e+00
4.900000000000000000e+01,3.624820188692169864e+01,9.403684613077043508e+00,1.076521729584739573e+00,1.075635074432817362e+00
5.000000000000000000e+01,3.629985012605528993e+01,9.499526248970958875e+00,1.087550340108959679e+00,1.088722176518084339e+00
5.100000000000000000e+01,3.635104465946405838e+01,9.597087291511131824e+00,1.098321141598656459e+00,1.101772992610865254e+00
5.200000000000000000e+01,3.640177740293770370e+01,9.696352334677982299e+00,1.108843940563039476e+00,1.114780698401238057e+00
5.300000000000000000e+01,3.645204034518792469e+01,9.797305703370483343e+00,1.119128163876469850e+00,1.127738711493634582e+00
5.400000000000000000e+01,3.650182554911347665e+01,9.899931455881425535e+00,1.129182870488272039e+00,1.140640679984098016e+00
5.500000000000000000e+01,3.655112515305352616e+01,1.000421338641480951e+01,1.139016763491736528e+00,1.153480471634231286e+00
5.600000000000000000e+01,3.659993137202911129e+01,1.011013502764493310e+01,1.148638202406967013e+00,1.166252163623964666e+00
5.700000000000000000e+01,3.664823649897248004e+01,1.021767965331675931e+01,1.158055215555797490e+00,1.178950032864327646e+00
5.800000000000000000e+01,3.669603290594411504e+01,1.032683028088719901e+01,1.167275512427566886e+00,1.191568546849856247e+00
5.900000000000000000e+01,3.674331304533728115e+01,1.043756967420685022e+01,1.176306495952613274e+00,1.204102355028076499e+00
6.000000000000000000e+01,3.679006945106987558e+01,1.054988034624177473e+01,1.185155274615679710e+00,1.216546280663736601e+00
6.100000000000000000e+01,3.683629473976342439e+01,1.066374456183490160e+01,1.193828674354527442e+00,1.228895313175207171e+00
6.200000000000000000e+01,3.688198161190897650e+01,1.077914434050664561e+01,1.202333250200178894e+00,1.241144600920121022e+00
6.300000000000000000e+01,3.692712285301980302e+01,1.089606145929418801e+01,1.210675297625644964e+00,1.253289444406449737e+00
6.400000000000000000e+01,3.697171133477063876e+01,1.101447745562913205e+01,1.218860863576835873e+00,1.265325289909360551e+00
6.500000000000000000e+01,3.701574001612333120e+01,1.113437363025293436e+01,1.226895757167741907e+00,1.277247723469426832e+00
6.600000000000000000e+01,3.705920194443869065e+01,1.125573105016973763e+01,1.234785560026425033e+00,1.289052465253174296e+00
6.700000000000000000e+01,3.710209025657441373e+01,1.137853055163612126e+01,1.242535636284466838e+00,1.300735364255307225e+00
6.800000000000000000e+01,3.714439817996883875e+01,1.150275274318726382e+01,1.250151142205547794e+00,1.312292393322369799e+00
6.900000000000000000e+01,3.718611903371041194e+01,1.162837800869909444e+01,1.257637035452877639e+00,1.323719644480804369e+00
7.000000000000000000e+01,3.722724622959268714e+01,1.175538651048588612e+01,1.264998083997605383e+00,1.335013324550151648e+00
7.100000000000000000e+01,3.726777327315466692e+01,1.188375819243288589e+01,1.272238874672755982e+00,1.346169751026079497e+00
7.200000000000000000e+01,3.730769376470637155e+01,1.201347278316338141e+01,1.279363821378985078e+00,1.357185348215555587e+00
7.300000000000000000e+01,3.734700140033941551e+01,1.214450979923979013e+01,1.286377172949777270e+00,1.368056643610520595e+00
7.400000000000000000e+01,3.738568997292245655e+01,1.227684854839825057e+01,1.293283020685000340e+00,1.378780264485210960e+00
7.500000000000000000e+01,3.742375337308139649e+01,1.241046813281614902e+01,1.300085305562442395e+00,1.389352934702757114e+00
7.600000000000000000e+01,3.746118559016410643e+01,1.254534745241214111e+01,1.306787825137656123e+00,1.399771471719753579e+00
7.700000000000000000e+01,3.749798071318957682e+01,1.268146520817808920e+01,1.313394240142856662e+00,1.410032783775531762e+00
7.800000000000000000e+01,3.753413293178133614e+01,1.281879990554243065e+01,1.319908080795705763e+00,1.420133867255543691e+00
7.900000000000000000e+01,3.756963653708498896e+01,1.295732985776441737e+01,1.326332752829477490e+00,1.430071804217664777e+00
